Method: nelder-mead, Function: F1, d_ij: 339704411.253273, min_d_star: 0.0029597809472888584
Method: nelder-mead, Function: F2, d_ij: 1e-10, min_d_star: 0.0
Method: nelder-mead, Function: F3, d_ij: 3485.1673424099295, min_d_star: 0.0004912514011982354
Method: nelder-mead, Function: F4, d_ij: 1041084630.2421188, min_d_star: 671.8803095384139
Method: nelder-mead, Function: F5, d_ij: 46846663.67504368, min_d_star: 46846663.67504368
Method: nelder-mead, Function: F6, d_ij: 5046.196807385342, min_d_star: 0.8729733701958938
Method: nelder-mead, Function: F7, d_ij: 3447.624707846559, min_d_star: 0.00036450842345157474
Method: nelder-mead, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: nelder-mead, Function: F9, d_ij: 3168.0049509020873, min_d_star: 2.422786723346091e-06
Method: nelder-mead, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: BFGS, Function: F1, d_ij: 3746675190.7384353, min_d_star: 0.0029597809472888584
Method: BFGS, Function: F2, d_ij: 16142135619.608644, min_d_star: 0.0
Method: BFGS, Function: F3, d_ij: 1.053858713581025, min_d_star: 0.0004912514011982354
Method: BFGS, Function: F4, d_ij: 1002.6353839362262, min_d_star: 671.8803095384139
Method: BFGS, Function: F5, d_ij: 35096892291.84753, min_d_star: 46846663.67504368
Method: BFGS, Function: F6, d_ij: 1.4799847560435845e+19, min_d_star: 0.8729733701958938
Method: BFGS, Function: F7, d_ij: 7.663621847337687, min_d_star: 0.00036450842345157474
Method: BFGS, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: BFGS, Function: F9, d_ij: 13.749655098842572, min_d_star: 2.422786723346091e-06
Method: BFGS, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: CG, Function: F1, d_ij: 339700211.2421321, min_d_star: 0.0029597809472888584
Method: CG, Function: F2, d_ij: 16142135619.608644, min_d_star: 0.0
Method: CG, Function: F3, d_ij: 63.136775671139766, min_d_star: 0.0004912514011982354
Method: CG, Function: F4, d_ij: 99674875028390.45, min_d_star: 671.8803095384139
Method: CG, Function: F5, d_ij: 2991522158.328941, min_d_star: 46846663.67504368
Method: CG, Function: F6, d_ij: 1.3913214795689044, min_d_star: 0.8729733701958938
Method: CG, Function: F7, d_ij: 0.45981904711595434, min_d_star: 0.00036450842345157474
Method: CG, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: CG, Function: F9, d_ij: 10317.155160642882, min_d_star: 2.422786723346091e-06
Method: CG, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: Powell, Function: F1, d_ij: 0.0029597809472888584, min_d_star: 0.0029597809472888584
Method: Powell, Function: F2, d_ij: 16142135619.586035, min_d_star: 0.0
Method: Powell, Function: F3, d_ij: 0.0004912514011982354, min_d_star: 0.0004912514011982354
Method: Powell, Function: F4, d_ij: 16540309197.818317, min_d_star: 671.8803095384139
Method: Powell, Function: F5, d_ij: 10654900686.53277, min_d_star: 46846663.67504368
Method: Powell, Function: F6, d_ij: 3.548017223842988e+18, min_d_star: 0.8729733701958938
Method: Powell, Function: F7, d_ij: 0.00036450842345157474, min_d_star: 0.00036450842345157474
Method: Powell, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: Powell, Function: F9, d_ij: 2.422786723346091e-06, min_d_star: 2.422786723346091e-06
Method: Powell, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: L-BFGS-B, Function: F1, d_ij: 2213042589.0518312, min_d_star: 0.0029597809472888584
Method: L-BFGS-B, Function: F2, d_ij: 16142135619.608644, min_d_star: 0.0
Method: L-BFGS-B, Function: F3, d_ij: 0.6992213744552132, min_d_star: 0.0004912514011982354
Method: L-BFGS-B, Function: F4, d_ij: 671.8803095384139, min_d_star: 671.8803095384139
Method: L-BFGS-B, Function: F5, d_ij: 9044418542.369501, min_d_star: 46846663.67504368
Method: L-BFGS-B, Function: F6, d_ij: 0.8729733701958938, min_d_star: 0.8729733701958938
Method: L-BFGS-B, Function: F7, d_ij: 36.15585737879099, min_d_star: 0.00036450842345157474
Method: L-BFGS-B, Function: F8, d_ij: 14909001530.69601, min_d_star: 14908986451.781082
Method: L-BFGS-B, Function: F9, d_ij: 54.31068635029286, min_d_star: 2.422786723346091e-06
Method: L-BFGS-B, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: nelder-mead, Function: F1, d_ij: 339704411.253273, min_d_star: 0.0029597809472888584
Method: nelder-mead, Function: F2, d_ij: 1e-10, min_d_star: 0.0
Method: nelder-mead, Function: F3, d_ij: 3485.1673424099295, min_d_star: 0.0004912514011982354
Method: nelder-mead, Function: F4, d_ij: 1041084630.2421188, min_d_star: 671.8803095384139
Method: nelder-mead, Function: F5, d_ij: 46846663.67504368, min_d_star: 46846663.67504368
Method: nelder-mead, Function: F6, d_ij: 5046.196807385342, min_d_star: 0.8729733701958938
Method: nelder-mead, Function: F7, d_ij: 3447.624707846559, min_d_star: 0.00036450842345157474
Method: nelder-mead, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: nelder-mead, Function: F9, d_ij: 3168.0049509020873, min_d_star: 2.422786723346091e-06
Method: nelder-mead, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: BFGS, Function: F1, d_ij: 3746675190.7384353, min_d_star: 0.0029597809472888584
Method: BFGS, Function: F2, d_ij: 16142135619.608644, min_d_star: 0.0
Method: BFGS, Function: F3, d_ij: 1.053858713581025, min_d_star: 0.0004912514011982354
Method: BFGS, Function: F4, d_ij: 1002.6353839362262, min_d_star: 671.8803095384139
Method: BFGS, Function: F5, d_ij: 35096892291.84753, min_d_star: 46846663.67504368
Method: BFGS, Function: F6, d_ij: 1.4799847560435845e+19, min_d_star: 0.8729733701958938
Method: BFGS, Function: F7, d_ij: 7.663621847337687, min_d_star: 0.00036450842345157474
Method: BFGS, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: BFGS, Function: F9, d_ij: 13.749655098842572, min_d_star: 2.422786723346091e-06
Method: BFGS, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: CG, Function: F1, d_ij: 339700211.2421321, min_d_star: 0.0029597809472888584
Method: CG, Function: F2, d_ij: 16142135619.608644, min_d_star: 0.0
Method: CG, Function: F3, d_ij: 63.136775671139766, min_d_star: 0.0004912514011982354
Method: CG, Function: F4, d_ij: 99674875028390.45, min_d_star: 671.8803095384139
Method: CG, Function: F5, d_ij: 2991522158.328941, min_d_star: 46846663.67504368
Method: CG, Function: F6, d_ij: 1.3913214795689044, min_d_star: 0.8729733701958938
Method: CG, Function: F7, d_ij: 0.45981904711595434, min_d_star: 0.00036450842345157474
Method: CG, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: CG, Function: F9, d_ij: 10317.155160642882, min_d_star: 2.422786723346091e-06
Method: CG, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: Powell, Function: F1, d_ij: 0.0029597809472888584, min_d_star: 0.0029597809472888584
Method: Powell, Function: F2, d_ij: 16142135619.586035, min_d_star: 0.0
Method: Powell, Function: F3, d_ij: 0.0004912514011982354, min_d_star: 0.0004912514011982354
Method: Powell, Function: F4, d_ij: 16540309197.818317, min_d_star: 671.8803095384139
Method: Powell, Function: F5, d_ij: 10654900686.53277, min_d_star: 46846663.67504368
Method: Powell, Function: F6, d_ij: 3.548017223842988e+18, min_d_star: 0.8729733701958938
Method: Powell, Function: F7, d_ij: 0.00036450842345157474, min_d_star: 0.00036450842345157474
Method: Powell, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: Powell, Function: F9, d_ij: 2.422786723346091e-06, min_d_star: 2.422786723346091e-06
Method: Powell, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: L-BFGS-B, Function: F1, d_ij: 2213042589.0518312, min_d_star: 0.0029597809472888584
Method: L-BFGS-B, Function: F2, d_ij: 16142135619.608644, min_d_star: 0.0
Method: L-BFGS-B, Function: F3, d_ij: 0.6992213744552132, min_d_star: 0.0004912514011982354
Method: L-BFGS-B, Function: F4, d_ij: 671.8803095384139, min_d_star: 671.8803095384139
Method: L-BFGS-B, Function: F5, d_ij: 9044418542.369501, min_d_star: 46846663.67504368
Method: L-BFGS-B, Function: F6, d_ij: 0.8729733701958938, min_d_star: 0.8729733701958938
Method: L-BFGS-B, Function: F7, d_ij: 36.15585737879099, min_d_star: 0.00036450842345157474
Method: L-BFGS-B, Function: F8, d_ij: 14909001530.69601, min_d_star: 14908986451.781082
Method: L-BFGS-B, Function: F9, d_ij: 54.31068635029286, min_d_star: 2.422786723346091e-06
Method: L-BFGS-B, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: nelder-mead, Function: F1, d_ij: 339704411.253273, min_d_star: 0.0029597809472888584
Method: nelder-mead, Function: F2, d_ij: 1e-10, min_d_star: 0.0
Method: nelder-mead, Function: F3, d_ij: 3485.1673424099295, min_d_star: 0.0004912514011982354
Method: nelder-mead, Function: F4, d_ij: 1041084630.2421188, min_d_star: 671.8803095384139
Method: nelder-mead, Function: F5, d_ij: 46846663.67504368, min_d_star: 46846663.67504368
Method: nelder-mead, Function: F6, d_ij: 5046.196807385342, min_d_star: 0.8729733701958938
Method: nelder-mead, Function: F7, d_ij: 3447.624707846559, min_d_star: 0.00036450842345157474
Method: nelder-mead, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: nelder-mead, Function: F9, d_ij: 3168.0049509020873, min_d_star: 2.422786723346091e-06
Method: nelder-mead, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: BFGS, Function: F1, d_ij: 3746675190.7384353, min_d_star: 0.0029597809472888584
Method: BFGS, Function: F2, d_ij: 16142135619.608644, min_d_star: 0.0
Method: BFGS, Function: F3, d_ij: 1.053858713581025, min_d_star: 0.0004912514011982354
Method: BFGS, Function: F4, d_ij: 1002.6353839362262, min_d_star: 671.8803095384139
Method: BFGS, Function: F5, d_ij: 35096892291.84753, min_d_star: 46846663.67504368
Method: BFGS, Function: F6, d_ij: 1.4799847560435845e+19, min_d_star: 0.8729733701958938
Method: BFGS, Function: F7, d_ij: 7.663621847337687, min_d_star: 0.00036450842345157474
Method: BFGS, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: BFGS, Function: F9, d_ij: 13.749655098842572, min_d_star: 2.422786723346091e-06
Method: BFGS, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: CG, Function: F1, d_ij: 339700211.2421321, min_d_star: 0.0029597809472888584
Method: CG, Function: F2, d_ij: 16142135619.608644, min_d_star: 0.0
Method: CG, Function: F3, d_ij: 63.136775671139766, min_d_star: 0.0004912514011982354
Method: CG, Function: F4, d_ij: 99674875028390.45, min_d_star: 671.8803095384139
Method: CG, Function: F5, d_ij: 2991522158.328941, min_d_star: 46846663.67504368
Method: CG, Function: F6, d_ij: 1.3913214795689044, min_d_star: 0.8729733701958938
Method: CG, Function: F7, d_ij: 0.45981904711595434, min_d_star: 0.00036450842345157474
Method: CG, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: CG, Function: F9, d_ij: 10317.155160642882, min_d_star: 2.422786723346091e-06
Method: CG, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: Powell, Function: F1, d_ij: 0.0029597809472888584, min_d_star: 0.0029597809472888584
Method: Powell, Function: F2, d_ij: 16142135619.586035, min_d_star: 0.0
Method: Powell, Function: F3, d_ij: 0.0004912514011982354, min_d_star: 0.0004912514011982354
Method: Powell, Function: F4, d_ij: 16540309197.818317, min_d_star: 671.8803095384139
Method: Powell, Function: F5, d_ij: 10654900686.53277, min_d_star: 46846663.67504368
Method: Powell, Function: F6, d_ij: 3.548017223842988e+18, min_d_star: 0.8729733701958938
Method: Powell, Function: F7, d_ij: 0.00036450842345157474, min_d_star: 0.00036450842345157474
Method: Powell, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: Powell, Function: F9, d_ij: 2.422786723346091e-06, min_d_star: 2.422786723346091e-06
Method: Powell, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: L-BFGS-B, Function: F1, d_ij: 2213042589.0518312, min_d_star: 0.0029597809472888584
Method: L-BFGS-B, Function: F2, d_ij: 16142135619.608644, min_d_star: 0.0
Method: L-BFGS-B, Function: F3, d_ij: 0.6992213744552132, min_d_star: 0.0004912514011982354
Method: L-BFGS-B, Function: F4, d_ij: 671.8803095384139, min_d_star: 671.8803095384139
Method: L-BFGS-B, Function: F5, d_ij: 9044418542.369501, min_d_star: 46846663.67504368
Method: L-BFGS-B, Function: F6, d_ij: 0.8729733701958938, min_d_star: 0.8729733701958938
Method: L-BFGS-B, Function: F7, d_ij: 36.15585737879099, min_d_star: 0.00036450842345157474
Method: L-BFGS-B, Function: F8, d_ij: 14909001530.69601, min_d_star: 14908986451.781082
Method: L-BFGS-B, Function: F9, d_ij: 54.31068635029286, min_d_star: 2.422786723346091e-06
Method: L-BFGS-B, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: nelder-mead, Function: F1, d_ij: 339704411.253273, min_d_star: 0.0029597809472888584
Method: nelder-mead, Function: F2, d_ij: 1e-10, min_d_star: 0.0
Method: nelder-mead, Function: F3, d_ij: 3485.1673424099295, min_d_star: 0.0004912514011982354
Method: nelder-mead, Function: F4, d_ij: 1041084630.2421188, min_d_star: 671.8803095384139
Method: nelder-mead, Function: F5, d_ij: 46846663.67504368, min_d_star: 46846663.67504368
Method: nelder-mead, Function: F6, d_ij: 5046.196807385342, min_d_star: 0.8729733701958938
Method: nelder-mead, Function: F7, d_ij: 3447.624707846559, min_d_star: 0.00036450842345157474
Method: nelder-mead, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: nelder-mead, Function: F9, d_ij: 3168.0049509020873, min_d_star: 2.422786723346091e-06
Method: nelder-mead, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: BFGS, Function: F1, d_ij: 3746675190.7384353, min_d_star: 0.0029597809472888584
Method: BFGS, Function: F2, d_ij: 16142135619.608644, min_d_star: 0.0
Method: BFGS, Function: F3, d_ij: 1.053858713581025, min_d_star: 0.0004912514011982354
Method: BFGS, Function: F4, d_ij: 1002.6353839362262, min_d_star: 671.8803095384139
Method: BFGS, Function: F5, d_ij: 35096892291.84753, min_d_star: 46846663.67504368
Method: BFGS, Function: F6, d_ij: 1.4799847560435845e+19, min_d_star: 0.8729733701958938
Method: BFGS, Function: F7, d_ij: 7.663621847337687, min_d_star: 0.00036450842345157474
Method: BFGS, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: BFGS, Function: F9, d_ij: 13.749655098842572, min_d_star: 2.422786723346091e-06
Method: BFGS, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: CG, Function: F1, d_ij: 339700211.2421321, min_d_star: 0.0029597809472888584
Method: CG, Function: F2, d_ij: 16142135619.608644, min_d_star: 0.0
Method: CG, Function: F3, d_ij: 63.136775671139766, min_d_star: 0.0004912514011982354
Method: CG, Function: F4, d_ij: 99674875028390.45, min_d_star: 671.8803095384139
Method: CG, Function: F5, d_ij: 2991522158.328941, min_d_star: 46846663.67504368
Method: CG, Function: F6, d_ij: 1.3913214795689044, min_d_star: 0.8729733701958938
Method: CG, Function: F7, d_ij: 0.45981904711595434, min_d_star: 0.00036450842345157474
Method: CG, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: CG, Function: F9, d_ij: 10317.155160642882, min_d_star: 2.422786723346091e-06
Method: CG, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: Powell, Function: F1, d_ij: 0.0029597809472888584, min_d_star: 0.0029597809472888584
Method: Powell, Function: F2, d_ij: 16142135619.586035, min_d_star: 0.0
Method: Powell, Function: F3, d_ij: 0.0004912514011982354, min_d_star: 0.0004912514011982354
Method: Powell, Function: F4, d_ij: 16540309197.818317, min_d_star: 671.8803095384139
Method: Powell, Function: F5, d_ij: 10654900686.53277, min_d_star: 46846663.67504368
Method: Powell, Function: F6, d_ij: 3.548017223842988e+18, min_d_star: 0.8729733701958938
Method: Powell, Function: F7, d_ij: 0.00036450842345157474, min_d_star: 0.00036450842345157474
Method: Powell, Function: F8, d_ij: 14908986451.781082, min_d_star: 14908986451.781082
Method: Powell, Function: F9, d_ij: 2.422786723346091e-06, min_d_star: 2.422786723346091e-06
Method: Powell, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
Method: L-BFGS-B, Function: F1, d_ij: 2213042589.0518312, min_d_star: 0.0029597809472888584
Method: L-BFGS-B, Function: F2, d_ij: 16142135619.608644, min_d_star: 0.0
Method: L-BFGS-B, Function: F3, d_ij: 0.6992213744552132, min_d_star: 0.0004912514011982354
Method: L-BFGS-B, Function: F4, d_ij: 671.8803095384139, min_d_star: 671.8803095384139
Method: L-BFGS-B, Function: F5, d_ij: 9044418542.369501, min_d_star: 46846663.67504368
Method: L-BFGS-B, Function: F6, d_ij: 0.8729733701958938, min_d_star: 0.8729733701958938
Method: L-BFGS-B, Function: F7, d_ij: 36.15585737879099, min_d_star: 0.00036450842345157474
Method: L-BFGS-B, Function: F8, d_ij: 14909001530.69601, min_d_star: 14908986451.781082
Method: L-BFGS-B, Function: F9, d_ij: 54.31068635029286, min_d_star: 2.422786723346091e-06
Method: L-BFGS-B, Function: F10, d_ij: 13797847329.915112, min_d_star: 13797847329.915112
